material_id,formula,e_form_pred_n0,e_form_ale_n0
scn-451,K3Mg7Zr,0.2552,0.0328
scn-452,CaPbO2,-2.266,0.053
scn-453,ZrPoO3,-2.8547,0.0529
scn-454,Mg2Ta2O7,-3.2966,0.0262
scn-455,Ca7(TaCd)2,0.1813,0.0386
scn-456,NaTaCl3,-1.4492,0.0298
scn-457,Cs2RbPdOF5,-2.2732,0.0329
scn-458,Ca3ZrOF5,-3.4457,0.0568
scn-459,Rb2NaHfMg5O,-0.1932,0.0368
scn-460,ScCdO,-1.8977,0.0341
scn-461,Sr2Mg4Zr,0.0679,0.0178
scn-462,Sr2AsWO6,-2.4701,0.0389
scn-463,Mn2PbO6,-1.3881,0.0513
scn-464,Li2Nb5(PO5)3,-2.5076,0.0523
scn-465,Cs2NaHfMg5O,-0.1352,0.0454
scn-466,KZrV2OF5,-2.951,0.0505
scn-467,LiCaTa2Sn6F,-0.4529,0.0287
scn-468,Cs2ZrVOF5,-3.0996,0.04
scn-469,KHfAs2OF5,-2.7285,0.0338
scn-470,Rb2NaReOF5,-2.6355,0.0321
scn-471,KZrP2OF5,-2.7053,0.0382
scn-472,Cs2RbMgZrF5,-2.8984,0.0453
scn-473,Rb2ScSeF6,-3.1142,0.0271
scn-474,Na2CrAsF7,-2.7558,0.0369
scn-475,Ba3(Mg5Nb)2,0.2395,0.0442
scn-476,Cs2Mg12TiW3,0.4725,0.0289
scn-477,Sr4Mg9Nb2,0.2467,0.0335
scn-478,Cs2KReF6,-2.6382,0.0348
scn-479,Cs3MgF6,-2.8964,0.032
scn-480,Ba3SrHf9Nb2,0.5815,0.0358
scn-481,CsSrTa3,1.6029,0.0479
scn-482,SrLiMn2O6F,-2.1831,0.055
scn-483,Sr2CaNi6W,-0.0077,0.0126
scn-484,Na2MgAsF7,-2.9941,0.0291
scn-485,Se2SO5,-1.2302,0.0806
scn-486,NaCaMg2Cr7,0.6948,0.0705
scn-487,Y12Pb7Cl2,-0.7077,0.0284
scn-488,Na2Ca7MgAl,-0.03,0.0163
scn-489,Fr7(BrF6)2,-3.1435,0.0437
scn-490,Cs3YSc6,0.6518,0.035
