material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0,diel_ionic_target
mp-581143,RuOF4,2.9075,0.4012,0.0
mp-1208390,Ta6Bi2O19,81.247,24.4406,0.0
mp-1087540,CdCu2SiTe4,3.0827,0.1521,0.0
mp-674531,Li5GeP3,4.2426,0.1141,0.0
mp-1219003,Sn2SeS2,38.5438,15.4757,0.0
mp-707485,K4Cu3As4(HO8)2,4.8884,0.1516,0.0
mp-704890,Ba8Co7O19,9.923,0.6839,0.0
mp-989624,TiPN3,6.7145,0.187,0.0
mp-989613,TiPN3,5.8769,0.2895,0.0
mp-1278660,Li4CoOF5,4.633,0.2327,0.0
mp-1105196,ZnCuH3ClO3,3.8881,0.2217,0.0
mp-775433,Li2Ni(PS3)2,3.9692,0.385,0.0
mp-1030281,Te6Mo3WS2,6.0206,0.9263,0.0
mp-1219943,Pb2SeS,22.2097,1.3324,0.0
mp-22265,Fe(SbO2)2,10.9164,0.6259,0.0
mp-979979,Sm3Sb4Au3,6.8425,0.2314,0.0
mp-1292648,Mn3(OF2)2,5.2628,0.1677,0.0
mp-1176988,Li6MnV3(PO4)6,4.7334,0.6318,0.0
mp-1219521,SbAsIr,8.3682,0.3556,0.0
mp-1244743,MgBi2O5,18.5631,1.2754,0.0
mp-765036,Li2MnOF3,5.8014,0.2393,0.0
mp-1214402,BaNdCuTe3,8.9815,0.1896,0.0
mp-1648759,ZnCr(GeO3)2,8.0926,0.431,0.0
mp-557381,Rb3U3Ge2O13,13.327,1.2794,0.0
mp-1106376,Sm2Te3,8.0175,0.2475,0.0
mp-1004376,NaMn2O4,5.9137,0.2953,0.0
mp-1214627,Ba2SrY2Cu2PtO10,9.2395,0.3678,0.0
mp-754570,Li4Ti3V3(SnO8)2,17.0129,1.3283,0.0
mp-867649,LiTi(Si2O5)2,7.3172,0.8683,0.0
mp-778827,LiMn2(BO3)2,5.3574,0.3217,0.0
mp-541312,Ge3(Te3As)2,4.2727,0.3132,0.0
mp-698313,Rb2CuH4(C2O5)2,4.3275,0.3289,0.0
mp-1113487,Rb2FeCuF6,5.9959,0.2516,0.0
mp-16435,Ba3Sc4(CuO4)3,7.6156,0.2884,0.0
mp-1192859,NaFePO4,4.9466,0.1831,0.0
mvc-3578,Ca2Cr3O8,6.2125,0.2602,0.0
mp-1174951,Li7Mn2(CoO4)3,7.5881,0.7147,0.0
mp-758550,K4Li3Mn2O8,8.5041,0.6815,0.0
mp-1174912,Li7Mn2(CoO4)3,8.5282,0.3685,0.0
mp-1247360,Ca3InN3,8.5332,0.1702,0.0
mp-1653040,CaV5O7,10.2502,0.4323,0.0
mp-1225870,CsTaS3,2.9923,0.3428,0.0
mp-753229,Li2Mn3NiO8,10.7159,0.5824,0.0
mp-1222174,Mg2ZnAs2,12.1648,0.9151,0.0
mp-755638,Li7Ni5O12,9.3496,0.8108,0.0
mp-774423,V3Cu(PO4)6,8.4328,0.7063,0.0
mp-777385,Li5Mn8(BO3)8,5.235,0.314,0.0
mp-1215773,Zn3In2O6,8.7775,0.4412,0.0
mp-761602,Li3Fe(CoO3)2,7.7098,0.26,0.0
mp-1176075,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-5363,Hg2TeO5,14.9169,0.677,0.0
mp-770581,MgMnO3,7.1925,0.3141,0.0
mp-1013545,Ca3BiAs,18.1497,1.2795,0.0
mp-1174644,Li4MnCo2O7,7.7129,0.6969,0.0
mp-15645,Ag8SnS6,5.1569,0.3036,0.0
mp-1175204,Li7Mn4CoO12,10.7956,0.4439,0.0
mp-1176035,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-1221632,MnCdS2,4.5623,0.1804,0.0
mp-754039,Y2V2O7,14.0698,0.5723,0.0
mp-1663008,Li4Ti3V3(TeO8)2,28.1562,1.5716,0.0
mp-757976,LiNiCO4,6.8286,0.5424,0.0
mp-1112018,K2InSbI6,18.3156,1.1693,0.0
mp-555658,Bi2MoO6,29.7552,2.1173,0.0
mp-1650937,Li7Mn4CoO12,11.8832,0.4851,0.0
mp-1206828,Eu2YTaO6,28.9804,1.8397,0.0
mp-849461,Na3MnO3,5.7214,0.1871,0.0
mp-773019,V12O29,19.8055,4.4809,0.0
